node_id,cluster_id
0,31
391,31
1945,31
1698,31
411,89
1873,89
10,86
868,89
1439,89
826,89
11,89
1962,89
1585,89
456,89
1668,89
1791,89
1257,89
510,89
1628,89
573,89
2005,89
119,89
1618,89
277,89
1429,89
689,89
418,89
979,89
557,89
555,89
1401,89
1838,89
1190,89
265,89
1669,89
1717,89
118,89
1080,89
63,89
1844,89
1875,87
1010,89
1277,89
1072,89
1213,89
1286,89
315,87
1485,89
1662,89
1832,89
1586,89
13,89
998,89
1986,89
328,89
851,89
271,89
1500,89
216,89
584,89
24,89
1521,89
1893,89
1466,89
816,89
23,89
409,89
1742,89
1433,89
1178,89
202,89
1322,89
452,89
1018,89
889,89
305,89
1575,89
640,89
46,89
1240,89
793,89
164,89
1975,89
1368,89
1767,89
1268,89
1790,89
1935,89
343,89
1083,89
167,89
1330,89
604,89
872,89
598,89
902,89
736,89
954,89
107,89
840,89
1941,89
1549,78
195,89
1408,89
938,89
44,89
1531,89
1290,89
1294,89
1452,89
217,89
1961,89
520,89
1577,89
1128,89
722,89
1994,89
402,89
410,89
716,89
91,89
1238,89
1853,89
1877,89
1997,89
649,89
1431,89
963,89
1781,89
338,89
1063,89
1596,89
1607,89
279,89
1193,89
960,89
1379,89
135,89
73,89
1579,89
14,69
349,81
1973,89
1143,89
34,60
322,60
1705,80
36,32
1620,32
992,70
382,89
43,79
387,79
890,79
1974,79
347,79
1041,79
1597,79
1914,79
1964,79
1749,79
1527,79
363,79
1136,79
667,89
50,33
1892,33
750,33
2002,33
53,74
1372,74
732,74
1985,74
2003,74
561,74
55,65
690,78
154,89
1079,89
1918,89
332,89
65,46
221,46
848,46
70,31
1711,31
176,89
75,58
247,58
79,72
1158,75
1376,70
1305,70
429,61
990,72
245,72
1057,75
1392,72
1423,62
83,80
1766,89
361,80
534,80
478,89
712,89
866,89
90,79
1689,79
737,63
183,65
238,65
652,65
1902,65
964,89
1276,89
103,89
449,89
462,84
863,84
1546,76
619,71
898,76
104,83
1051,85
108,89
1815,89
110,74
1951,74
1972,74
1792,74
188,74
1871,74
668,74
377,74
513,74
1325,74
116,86
1134,89
915,89
1381,86
795,89
627,89
1673,89
422,89
121,0
1922,0
124,1
1580,1
694,1
131,2
1993,2
894,77
139,47
141,59
891,59
278,59
1905,77
292,59
145,48
1784,52
1035,34
147,53
149,3
306,3
152,81
153,74
401,74
1087,74
832,35
2000,89
1562,80
538,85
181,4
755,4
190,79
1802,79
487,79
194,36
196,49
1676,49
1829,85
1409,83
602,73
831,69
204,36
220,54
232,5
833,5
1750,89
903,89
244,72
1157,64
997,72
727,72
1388,58
1186,58
465,58
464,89
1522,89
296,6
983,6
1696,37
311,38
1683,38
318,63
325,7
1055,7
326,8
908,8
439,66
794,67
357,64
571,64
782,79
508,79
515,79
1992,79
371,54
374,68
1060,68
384,88
665,88
385,62
386,39
1498,39
962,31
403,79
1154,79
733,79
1102,79
1666,79
1404,79
957,79
2024,79
1444,79
1029,79
424,9
1038,9
1252,67
1980,61
433,89
1226,82
1855,82
435,68
1123,70
1812,70
458,68
461,55
1800,55
1119,89
469,10
97,10
479,50
807,50
491,69
512,35
523,40
1932,40
1194,70
585,41
1643,41
588,42
60,42
1302,73
625,53
630,11
1511,11
635,12
327,12
664,32
670,13
830,13
696,14
518,14
389,37
803,43
417,43
818,59
1779,59
1133,60
873,32
1023,32
1593,61
896,64
1069,64
897,15
300,15
904,52
1649,48
1690,52
1555,48
923,46
929,16
1389,16
977,89
987,74
989,17
1434,17
1004,18
1034,18
1033,44
501,44
1068,79
1088,18
1090,45
1112,50
1837,50
1211,34
1233,45
1693,56
1357,19
797,19
1700,56
1412,20
1071,20
1443,61
1472,21
591,21
1478,59
1479,22
1502,22
1491,57
1684,57
1492,44
1499,47
1507,79
1509,89
1519,23
1917,23
1524,24
1237,24
1537,25
541,25
1637,71
1679,51
1688,51
1762,18
1787,26
601,26
1804,27
3,27
1814,28
337,28
1856,0
1886,29
779,29
1906,37
1900,79
1923,30
224,30
1926,89
1929,66
1938,31
2015,42
